"Image","Lat","Lon","Date","tags","search_term","year"
12013185653,-20.311973,-46.526564,"2012-06-10 09:23:03","minasgerais brasil de grande minas band vermelho e da roque ao são riso expedição nascente troller bandeirantes francico limeira medeiros vargem a folz porfim oriosãofranciscoéumdosmaisimportantescursosdáguadobrasiledetodaaaméricadosulconformeestudos suanascenterealegeográficaestálocalizadanomunicípiodemedeiros minasgeraisnaserradacanastra nomunicípiodesãoroquedeminas encontraseaaproximadamente1200metrosdealtitudeachamadanascentehistórica aqualpormuitotemposepensouseranascenterealoriotambématravessaoestadodabahia fazendosuadivisaaonortecompernambuco bemcomoconstituindoadivisanaturaldosestadosdesergipeealagoas deságuanooceanoatlântico drenandoumaáreadeaproximadamente641000km²seucomprimentomedidoapartirdanascentehistóricaéde2814km maschegaa2863kmquandomedidoaolongodotrechogeográfico1seunomeindígenaéoparáetambémécarinhosamentechamadovelhochicoapresentadoisestirõesnavegáveisomédio comcercade1371kmdeextensão entrepiraporamgejuazeirobapetrolinapeeobaixo com208km entrepiranhasaleafoz nooceanoatlânticooriosãofranciscoatravessaregiõescomcondiçõesnaturaisdasmaisdiversasetemcincousinashidrelétricasaspartesextremassuperioreinferiordabaciaapresentambonsíndicespluviométricos enquantoosseuscursosmédioesubmédioatravessamáreasdeclimabastantesecoassim cercade75dodeflúviodosãofranciscoégeradoemminasgerais cujaáreadabaciaaliinseridaédeapenas37daáreatotalaáreacompreendidaentreafronteiraminasgeraisbahiaeacidadedejuazeiroba representa45dovaleecontribuicomapenas20dodeflúvioanualosaluviõesrecentes osarenitosecalcários quedominamboapartedabaciadedrenagem funcionamcomoverdadeirasesponjasparareteremeliberaremaságuasnosmesesdeestiagem atalpontoque empiraporamg januáriamgeatémesmoemcarinhanhaba omínimosedáemsetembro doismesesapósomínimopluvialdejulhoàmedidaqueosãofranciscopenetranazonasertanejasemiárida apesardaintensaevaporação dabaixapluviosidadeedosafluentestemporáriosdamargemdireita temseuvolumedáguadiminuído masmantémseperene graçasaomecanismoderetroalimentaçãoprovenientedoseualtocursoedosafluentesnocentrodeminasgeraiseoestedabahianessetrechooperíododascheiasocorredeoutubroaabril comalturamáximaemmarço nofimdaestaçãochuvosaasvazantessãoobservadasdemaioasetembro condicionadasàestaçãoseca","grassland",2012
12013236953,-20.258378,-46.4084,"2012-06-08 11:59:56","minasgerais brasil de grande minas band vermelho e da roque ao são riso expedição nascente troller bandeirantes francico limeira medeiros vargem a folz porfim oriosãofranciscoéumdosmaisimportantescursosdáguadobrasiledetodaaaméricadosulconformeestudos suanascenterealegeográficaestálocalizadanomunicípiodemedeiros minasgeraisnaserradacanastra nomunicípiodesãoroquedeminas encontraseaaproximadamente1200metrosdealtitudeachamadanascentehistórica aqualpormuitotemposepensouseranascenterealoriotambématravessaoestadodabahia fazendosuadivisaaonortecompernambuco bemcomoconstituindoadivisanaturaldosestadosdesergipeealagoas deságuanooceanoatlântico drenandoumaáreadeaproximadamente641000km²seucomprimentomedidoapartirdanascentehistóricaéde2814km maschegaa2863kmquandomedidoaolongodotrechogeográfico1seunomeindígenaéoparáetambémécarinhosamentechamadovelhochicoapresentadoisestirõesnavegáveisomédio comcercade1371kmdeextensão entrepiraporamgejuazeirobapetrolinapeeobaixo com208km entrepiranhasaleafoz nooceanoatlânticooriosãofranciscoatravessaregiõescomcondiçõesnaturaisdasmaisdiversasetemcincousinashidrelétricasaspartesextremassuperioreinferiordabaciaapresentambonsíndicespluviométricos enquantoosseuscursosmédioesubmédioatravessamáreasdeclimabastantesecoassim cercade75dodeflúviodosãofranciscoégeradoemminasgerais cujaáreadabaciaaliinseridaédeapenas37daáreatotalaáreacompreendidaentreafronteiraminasgeraisbahiaeacidadedejuazeiroba representa45dovaleecontribuicomapenas20dodeflúvioanualosaluviõesrecentes osarenitosecalcários quedominamboapartedabaciadedrenagem funcionamcomoverdadeirasesponjasparareteremeliberaremaságuasnosmesesdeestiagem atalpontoque empiraporamg januáriamgeatémesmoemcarinhanhaba omínimosedáemsetembro doismesesapósomínimopluvialdejulhoàmedidaqueosãofranciscopenetranazonasertanejasemiárida apesardaintensaevaporação dabaixapluviosidadeedosafluentestemporáriosdamargemdireita temseuvolumedáguadiminuído masmantémseperene graçasaomecanismoderetroalimentaçãoprovenientedoseualtocursoedosafluentesnocentrodeminasgeraiseoestedabahianessetrechooperíododascheiasocorredeoutubroaabril comalturamáximaemmarço nofimdaestaçãochuvosaasvazantessãoobservadasdemaioasetembro condicionadasàestaçãoseca","grassland",2012
12416870483,-20.302963,-46.523246,"2014-02-02 10:50:42","show trip summer tree minasgerais nature water beautiful brasil river waterfall natureza verão cachoeira trilhas paraíso paradaise serradacanastra","grassland",2014
12446653153,-17.340534,-44.953587,"2013-12-04 15:44:27","minasgerais rio brasil francisco rosa são guimarães nego carranca pirapora manulezão","grassland",2013
12926570975,-15.676268,-56.135475,"2014-03-03 06:48:19","park tree nature walking walk natureza árvore flickrandroidapp:filter=none parqueestadualmãebonifácia","nature",2014
13039596624,-21.487937,-56.438359,"2014-02-15 09:43:48","","grassland",2014
13057078195,-15.443289,-47.508242,"2012-03-01 12:20:42","brazil brasilia altoparaísodegoiás","grassland",2012
13057333594,-14.44365,-47.506114,"2012-03-01 14:46:25","brazil brasilia altoparaísodegoiás","grassland",2012
13057372634,-15.035092,-47.599659,"2012-03-01 13:47:47","brazil brasilia altoparaísodegoiás","grassland",2012
13078953045,-14.185128,-47.790625,"2012-03-03 11:59:51","brazil rio river raizama valedalua altoparaísodegoiás sãobentowaterfalls","grassland",2012
13079436413,-13.7899,-47.459239,"2012-03-05 08:44:41","travel brazil kalunga riodasfêmeas","grassland",2012
13079494574,-13.640692,-47.477709,"2012-03-04 11:21:21","brazil kalunga altoparaísodegoiás","grassland",2012
13079600084,-13.338048,-46.139395,"2012-03-05 16:50:13","travel brazil kalunga riodasfêmeas","grassland",2012
13081489335,-12.193014,-43.734509,"2012-03-06 12:34:09","travel brazil lençóis riodasfêmeas","grassland",2012
13081490265,-12.193584,-43.73637,"2012-03-06 12:34:00","travel brazil lençóis riodasfêmeas","grassland",2012
13081491655,-12.1941,-43.73807,"2012-03-06 12:33:52","travel brazil lençóis riodasfêmeas","grassland",2012
13118324733,-19.934946,-40.662074,"2014-03-03 11:57:28","forest atlantic pastor floresta mata atlantica alemão tropicalforest atlanticforest mataatlantica canon24105mmf4lisusm florestatropical canonef24105mmf4lisusm santateresaes 5dmarkiii","forest",2014
13208359754,-19.941849,-47.46864,"2014-03-16 23:15:41","trees sunlight grove gimp bosque hdr árvores luzdosol luminancehdr photomatixpro5","forest",2014
13497711755,-19.364367,-45.114106,"2014-03-13 17:25:11","eucalyptus alpha “ project” trees” a wood” “l forest” rain” “forest “sony system” “wood plantation” charcoal” test” management” education” “vegetable research” forestequipment “planted “environmental “eucalyptus “canopy “forest” canopy” flux” nutrition” “charcoal” “fauna farmer” footprint” “flora “eddy “bioenergy” “biomass” “arcelormittal” “arcelormittal bioenergy” productivity” “plantation” “fsc” drying” “thining” “seeds” entomology” “insects” 55v” “ipef” “exclusion “techs “clonal “sprouting using” “sampling “agrosilvopasture bioforest” globulus” “techs” “sifufv” “ufv” invasa”","forest",2014
13518266405,-20.257889,-46.402988,"2014-03-30 16:20:59","","grassland",2014
13600742575,-5.183392,-47.775887,"2014-01-31 11:43:47","","forest",2014
13603090344,-5.076034,-47.767645,"2014-02-05 10:51:23","","grassland",2014
13838484114,-20.407848,-41.038175,"2014-04-13 20:22:03","","grassland",2014
13845196083,-18.87297,-48.255171,"2014-04-06 06:37:51","trens vli brasilefvm","grassland",2014
13845216843,-18.87297,-48.255171,"2014-04-06 06:37:43","brasil trens efvm vli","grassland",2014
13973464967,-9.399767,-40.503087,"2014-05-04 15:20:03","","aerial",2014
14078767007,-16.833125,-49.304134,"2014-05-20 15:53:38","de areia da das serra aparecida goiânia areias","grassland",2014
14093253129,-12.522331,-40.339837,"2014-05-12 10:35:33","brazil palm bahia bromeliaceae leguminosae arecaceae burseraceae commiphora itaberaba syagruscoronata aechmeaaquilega goniorrhachismarginata caatingawoodlands","forest",2014
14143033869,-12.600873,-41.488556,"2014-05-13 08:43:09","chapadadiamantina lençóis valedocapão velloziaceae native velloziasincorana orchidaceae epidendrumsecundum habitat habit palmeiras bahia brazil herb","savanna",2014
14172411247,-20.077298,-56.69217,"2014-05-26 13:20:06","wild brazil nature animal fauna photo san francisco natureza ms fernando beleza fotografia miranda animais bicho mato outono sul pantanal fazenda grosso brasileira 2014 cervos grossense stankuns","grassland",2014
14198151755,-18.87297,-48.255171,"2014-05-04 07:39:14","brasil trens fca efvm vli","grassland",2014
14242164036,-16.831023,-49.316417,"2014-05-20 16:47:18","de areia da das serra aparecida goiânia areias","grassland",2014
14261936511,-16.832792,-49.314125,"2014-05-23 15:42:38","de areia da das serra aparecida goiânia areias","grassland",2014
14265335475,-16.836487,-49.301342,"2014-05-20 15:35:50","de areia da das serra aparecida goiânia areias","grassland",2014
14330108539,-20.102306,-43.501181,"2014-06-20 16:59:50","brazil mountain minasgerais brasil minas montanha santuario caraça geraes minasgeraes caraca","grassland",2014
14333741276,-12.577653,-41.387653,"2014-05-15 09:47:21","brazil forest bamboo bahia vegetation poaceae lençóis lencois caatinga understory coolseason disturbedsite pseudopetiole cachoeiraribeirãodomeio","forest",2014
14445331926,-17.588909,-43.18872,"2014-06-17 14:49:31","eucalyptus alpha “ project” trees” a wood” “l forest” rain” “forest “working “sony system” “wood plantation” charcoal” test” management” education” “vegetable research” forestequipment “planted “environmental “eucalyptus “canopy height” “forest” canopy” flux” nutrition” “charcoal” “fauna farmer” footprint” “flora “eddy “bioenergy” “biomass” “arcelormittal” “arcelormittal bioenergy” productivity” “plantation” “fsc” drying” “thining” “seeds” entomology” “insects” 55v” “ipef” “exclusion “techs “clonal “sprouting using” “sampling “agrosilvopasture bioforest” globulus” “techs” “sifufv” “ufv” invasa”","forest",2014
14459728152,-20.651945,-42.875556,"2014-04-21 10:16:33","","grassland",2014
14526258152,-20.08947,-43.472773,"2014-06-21 12:57:42","brazil minasgerais church brasil minas gerais igreja pico santuario caraça geraes minasgeraes carapuça caraca","grassland",2014
14663913555,-20.676006,-47.884464,"2014-07-10 11:18:40","","forest",2014
14725059898,-19.60297,-56.071128,"2014-08-12 10:58:32","","grassland",2014
14814850448,-22.121387,-51.392639,"2014-08-21 10:14:49","brasil sãopaulo campo presidenteprudente olericultura","grassland",2014
14843084237,-15.825922,-47.890586,"2014-08-23 09:14:38","brasília ants cerrado distritofederal formiga atta leafcutterants bignoniaceae saúva tabebuiaochracea ipêamarelodocerrado handroanthusochraceus","cerrado",2014
14885287048,-20.37425,-43.438473,"2014-02-21 10:42:24","brazil minasgerais water rio água brasil train river gerais pano rail railway panoramic mg locomotive trem mariana ouropreto panorâmica ferrovia ribeirão mariafumaça estradadeferro hugin locomotiva viaférrea","grassland",2014
14888895086,-19.91197,-55.681114,"2014-08-09 12:40:34","","grassland",2014
